NAME,ID,SELECTION
Cow Hide Rugs,BAKQYRXNNGVOACB7FQQSW3DJ,leather
Finished Products,FHDW73IQ53YHONBDI5EKY2VH,souvenirs
Leather,VOODZQ33XAGXX4POHK2774SC,leather
Leather Hats,U6RB4CJODSTFLR4QOJMZATB6,leather
Leathercraft,Y2FAHWFIYUSS4VJDAYFVOBS6,leathercraft
Scrap Bags,TBXWR6KRP4HQY6QLXJECCQTY,leather
Sheepskins,DITG26WZNUTXPIC7UI4EEGXY,leather
Small Furs,JYLAG6VVNPPBNQCG3V7NPIVA,leather
Tanning Kits,V7MGW2R5HKQBPO3EBLLZWAFK,leathercraft
Ugg Boots,VO5UXRRJFMRQ3XBKLBSNKOQO,souvenirs
Souvenirs,JOERSHBFDOFYSYLJ6KPLXUBD,souvenirs
